Species	Formula	CAS	Inchi	Enthalpy	T(K)_Enthalpy	E_mean	E_min	E_max	Pre-exponential_factor	Order_factor	Method	Origin	Reference	Type_of_surface	Description
Al	Al	NoData	InChI=1S/Al	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
Ar	Ar	NoData	InChI=1S/Ar	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
AlO	AlO	NoData	InChI=1S/Al.O	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C	C	7440-44-0	InChI=1S/C	716.67±0.45	298	10000±3000	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
C	C	7440-44-0	InChI=1S/C	716.67±0.45	298	800	0	0	0.00E+0	1	Estimation	Bibliography	Tielens,A.G.G.M.etal.;1982;AstronomyandAstrophysics;114,245-260	H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C	C	7440-44-0	InChI=1S/C	716.67±0.45	298	4000	0	0	0.00E+0	1	Estimation	Bibliography	Ruaud,M.etal.;2015;MonthlyNoticesofTheRoyalAstronomicalSociety;447,4004-4017	H2O	 The value by Tielens & Hagen (1982) of 800 K is very likely underestimated. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
(13)C	C	NoData	InChI=1S/C/i1+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C(1D)	C	NoData	InChI=1S/C	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C-	C-	14337-00-9	InChI=1S/C/q-1	588.55±0.06	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C+	C+	14067-05-1	InChI=1S/C/q+1	1809.444±0.8	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
Cl	Cl	22537-15-1	InChI=1S/Cl	121.31±0.01	298	3000±900	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
Cl	Cl	22537-15-1	InChI=1S/Cl	121.31±0.01	298	1100	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy same as S The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
Cl+	Cl+	24203-47-2	InChI=1S/Cl/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CR	CR	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CRP	CRP	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C2	C2	12070-15-4	InChI=1S/C2/c1-2	826.799±0.3	298	10000±3000	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
C2	C2	12070-15-4	InChI=1S/C2/c1-2	826.799±0.3	298	1600	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C + C. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C2+	C2+	NoData	InChI=1S/C2/c1-2/q+1	1980.05±2.5	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CCl	CCl	3889-76-7	InChI=1S/CCl/c1-2	439.57±40	298	1900	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CL+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
